actual,proposed
0.0,120.04894256591797
0.0,118.63465118408203
0.0,115.52061462402344
0.0,112.48545837402344
0.0,108.37609100341797
0.0,105.85240173339844
0.0,104.30252838134766
0.0,102.22796630859375
0.0,100.95391845703125
0.0,100.81370544433594
0.0,100.08537292480469
0.0,100.76082611083984
0.0,101.1756362915039
0.0,102.55302429199219
0.0,103.91841888427734
0.0,103.11481475830078
0.0,101.4985580444336
0.0,100.5059585571289
0.0,99.89637756347656
0.0,98.39927673339844
0.0,97.47986602783203
0.0,96.91522216796875
0.0,95.44572448730469
0.0,92.29778289794922
0.0,89.2417984008789
0.0,87.36502838134766
0.0,85.08979797363281
0.0,82.56977844238281
0.0,82.14488983154297
0.0,81.88395690917969
0.0,81.62529754638672
0.0,80.4421157836914
0.0,79.71549224853516
0.0,78.14651489257812
0.0,77.18295288085938
0.0,75.46846771240234
0.0,74.4155502319336
0.0,72.64617919921875
0.0,71.55955505371094
0.0,72.01496887207031
0.0,72.29464721679688
0.0,72.4664077758789
0.0,75.5716552734375
0.0,77.84712982177734
0.0,78.12183380126953
0.0,77.16780090332031
0.0,76.58189392089844
0.0,76.22207641601562
0.0,76.0010986328125
0.0,75.86539459228516
0.0,76.90478515625
0.0,78.66584777832031
0.0,80.87001037597656
0.0,82.2236557006836
0.0,81.93232727050781
0.0,81.75341796875
0.0,83.888916015625
0.0,86.32313537597656
0.0,86.69532012939453
0.0,86.92389678955078
0.0,87.06427001953125
0.0,87.15047454833984
0.0,88.32615661621094
0.0,90.17091369628906
0.0,91.30384063720703
0.0,89.7541275024414
0.0,87.52840423583984
0.0,87.43551635742188
0.0,86.25572967529297
0.0,83.28581237792969
0.0,80.33915710449219
0.0,78.52952575683594
0.0,77.41817474365234
0.0,75.61292266845703
0.0,74.50425720214844
0.0,72.7006607055664
0.0,70.47027587890625
0.0,65.32450103759766
0.0,62.572235107421875
0.0,56.908966064453125
0.0,57.40399932861328
0.0,57.70801544189453
0.0,57.894718170166016
0.0,58.00938034057617
0.0,59.20253372192383
0.0,59.93528747558594
0.0,61.50802993774414
0.0,61.35116195678711
0.0,61.254825592041016
0.0,61.19566345214844
0.0,62.282066345214844
0.0,62.94926071166992
0.0,62.236263275146484
0.0,61.79839324951172
0.0,63.774864196777344
0.0,66.11141204833984
0.0,67.54635620117188
0.0,66.18222045898438
0.0,64.22172546386719
0.0,64.14046478271484
0.0,62.96781921386719
0.0,62.24766540527344
0.0,62.928131103515625
0.0,63.6026725769043
0.0,63.760284423828125
0.0,63.857078552246094
0.0,65.0391616821289
0.0,65.76512145996094
0.0,65.08831024169922
0.0,63.54991912841797
0.0,64.85052490234375
0.0,66.77201080322266
0.0,66.82931518554688
0.0,63.49638748168945
0.0,61.44953536987305
0.0,59.06976318359375
0.0,57.608272552490234
0.0,55.587989807128906
0.0,54.34727096557617
0.0,53.58530807495117
0.0,53.11736297607422
0.0,52.829986572265625
0.0,52.65349578857422
0.0,52.545108795166016
0.0,52.478546142578125
0.0,53.56040573120117
0.0,55.3475456237793
0.0,55.32234573364258
0.0,55.30686950683594
0.0,54.174625396728516
0.0,53.47928237915039
0.0,54.17498779296875
0.0,54.60224151611328
0.0,53.74189376831055
0.0,52.090789794921875
0.0,51.07679748535156
0.0,47.08595657348633
0.0,44.63505554199219
0.0,42.00714874267578
0.0,39.270530700683594
0.0,36.46715545654297
0.0,34.745513916015625
0.0,34.81093978881836
0.0,34.85112380981445
0.0,34.875797271728516
0.0,34.890953063964844
0.0,34.90026092529297
0.0,34.905975341796875
0.0,34.90948486328125
0.0,34.91164016723633
0.0,33.790225982666016
0.0,33.101531982421875
0.0,32.678585052490234
0.0,32.41883850097656
0.0,32.25931930541992
0.0,33.28409194946289
0.0,33.91343688964844
0.0,34.2999382019043
0.0,33.4145622253418
0.0,31.74808692932129
0.0,30.724653244018555
0.0,28.97348976135254
0.0,25.652572631835938
0.0,21.367618560791016
0.0,17.613361358642578
0.0,16.826799392700195
0.0,17.070180892944336
0.0,18.342388153076172
0.0,20.24642562866211
0.0,22.53849220275879
0.0,22.823381423950195
0.0,22.998340606689453
0.0,23.105789184570312
0.0,22.04903793334961
0.0,20.27731704711914
0.0,20.311986923217773
0.0,20.33327865600586
0.0,20.346355438232422
0.0,21.477123260498047
0.0,23.294300079345703
0.0,23.287546157836914
0.0,19.915185928344727
0.0,18.96685218811035
0.0,18.38445281982422
0.0,18.026784896850586
0.0,16.684391021728516
0.0,14.737247467041016
0.0,12.418806076049805
0.0,12.117622375488281
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,16.30189323425293
0.0,21.238676071166992
0.0,25.39324188232422
0.0,30.19016456604004
0.0,35.38157653808594
0.0,40.81515884399414
0.0,44.1520881652832
0.0,46.20139694213867
0.0,47.45994186401367
0.0,48.232852935791016
0.0,48.70751953125
0.0,48.999027252197266
0.0,50.30078887939453
0.0,51.10023880004883
0.0,50.46847152709961
0.0,48.95783996582031
0.0,48.030113220214844
0.0,47.46036911010742
0.0,47.1104736328125
0.0,45.77285385131836
0.0,44.951377868652344
0.0,45.56962585449219
0.0,45.949310302734375
0.0,49.550601959228516
0.0,55.13047790527344
0.0,60.80263137817383
0.0,66.53154754638672
0.0,72.29532623291016
0.0,76.95767974853516
0.0,80.94371032714844
0.0,84.51439666748047
0.0,87.82999420166016
0.0,87.62073516845703
0.0,85.24683380126953
0.0,82.66622161865234
0.0,79.9586410522461
0.0,78.29583740234375
0.0,78.39739990234375
0.0,73.96881866455078
0.0,69.00370788574219
0.0,64.83174896240234
0.0,63.39236068725586
0.0,63.631126403808594
0.0,66.02313995361328
0.0,68.61488342285156
0.0,71.32929229736328
0.0,74.11902618408203
0.0,75.83229064941406
0.0,76.88446044921875
0.0,76.40789031982422
0.0,77.23795318603516
0.0,78.87045288085938
0.0,79.8730239868164
0.0,80.48873138427734
0.0,79.74412536621094
0.0,78.16409301757812
0.0,78.31649017333984
0.0,77.28734588623047
0.0,76.65531158447266
0.0,77.38990020751953
0.0,77.84103393554688
0.0,78.11808776855469
0.0,76.04276275634766
0.0,72.52276611328125
0.0,69.2383804321289
0.0,64.97586822509766
0.0,62.358131408691406
0.0,61.873233795166016
0.0,61.57544708251953
0.0,60.26982498168945
0.0,60.59074401855469
0.0,59.66509246826172
0.0,56.85114288330078
0.0,54.000274658203125
0.0,50.00408935546875
0.0,44.181697845458984
0.0,39.48324966430664
0.0,31.89085578918457
