actual,proposed
0.09990354627370834,0.17907793819904327
0.0964675024151802,0.17643706500530243
0.10171008110046387,0.175075501203537
0.10679329186677933,0.17442438006401062
0.1073642298579216,0.1737232208251953
0.11220724880695343,0.17347633838653564
0.11254680156707764,0.17302164435386658
0.1171669065952301,0.17294329404830933
0.1172918826341629,0.172546848654747
0.11734601855278015,0.17198492586612701
0.12169082462787628,0.17183509469032288
0.11719101667404175,0.17087946832180023
0.11269049346446991,0.16940580308437347
0.10382921248674393,0.16710534691810608
0.0993848368525505,0.16477352380752563
0.09493425488471985,0.16246181726455688
0.0861181765794754,0.15960411727428436
0.07735525071620941,0.15642249584197998
0.06864213943481445,0.15300792455673218
0.05561661347746849,0.15110653638839722
0.04269520938396454,0.14575016498565674
0.029871657490730286,0.14045780897140503
0.021500252187252045,0.13573715090751648
0.013155543245375156,0.13135892152786255
0.004835963249206543,0.1271672546863556
0.18126925826072693,0.12256962805986404
0.17852817475795746,0.25804007053375244
0.17804427444934845,0.25406646728515625
0.17546765506267548,0.2500564157962799
0.17300528287887573,0.24532856047153473
0.15865902602672577,0.24018342792987823
0.14754478633403778,0.23516862094402313
0.13648511469364166,0.23017795383930206
0.12547548115253448,0.22523531317710876
0.11015394330024719,0.2197592556476593
0.09057701379060745,0.21340787410736084
0.07987604290246964,0.20759250223636627
0.0648445338010788,0.2015586942434311
0.04553968459367752,0.19483137130737305
0.030735261738300323,0.1908978968858719
0.016003474593162537,0.18330267071723938
0.00569842429831624,0.1766868680715561
0.0,0.17007212340831757
0.0,0.16401338577270508
0.0,0.15828682482242584
0.0,0.1527724266052246
0.0,0.14682260155677795
0.0,0.14059166610240936
0.0,0.1347295641899109
0.0,0.12854327261447906
0.0,0.1325153261423111
0.0,0.1265542358160019
0.0,0.12028488516807556
0.0,0.11436402052640915
0.0,0.10864351689815521
0.0,0.10250037908554077
0.0,0.09662526100873947
0.0,0.09305773675441742
0.0,0.0835387110710144
0.0,0.0770440474152565
0.0,0.07091102004051208
0.0,0.06714551150798798
0.0,0.06214224174618721
